paragraphs,link
"AI21 Studio is a platform for building AI applications that comprehend and generate natural language, powered by AI21 Labs' cutting-edge language models (LMs).",https://docs.ai21.com/docs/overview
AI21 Studio allows users to generate text completions for an input prompt using Jurassic-1 Language models. This is realized using either of the following interfaces:,https://docs.ai21.com/docs/overview
You can also use one of our specialized APIs and integrate in your system for:,https://docs.ai21.com/docs/overview
AI21 Studio offers flexible pay-as-you-go plans as well as a free trial with a generous amount of free credits to get you started. Create your account here.,https://docs.ai21.com/docs/overview
"Start building with our comprehensive guides, recipes and API references.",https://docs.ai21.com#content
"AI21 Studio is a platform for building AI applications that comprehend and generate natural language, powered by AI21 Labs' cutting-edge language models (LMs).",https://docs.ai21.com/docs/overview
AI21 Studio allows users to generate text completions for an input prompt using Jurassic-1 Language models. This is realized using either of the following interfaces:,https://docs.ai21.com/docs/overview
You can also use one of our specialized APIs and integrate in your system for:,https://docs.ai21.com/docs/overview
AI21 Studio offers flexible pay-as-you-go plans as well as a free trial with a generous amount of free credits to get you started. Create your account here.,https://docs.ai21.com/docs/overview
"Using AI21 Studio, you can solve challenging text understanding and generation tasks. Its straightforward API and interactive playground allows you to get started in minutes, without any prior knowledge in Natural Language Processing (NLP).",https://docs.ai21.com/docs/quickstart
"Below is a quickstart guide to cover all the basics you need in order to start building your solution. After that, you should feel comfortable using our large language models to start and solve your own use-case.",https://docs.ai21.com/docs/quickstart
A language model takes some text as input and produces a likely continuation. You can think of it as an exceptional student that can follow instructions and imitate examples.,https://docs.ai21.com/docs/quickstart
Here are two words you should know:,https://docs.ai21.com/docs/quickstart
Prompt - the input you provide to the model.,https://docs.ai21.com/docs/quickstart
Completion - the output text the model returns.,https://docs.ai21.com/docs/quickstart
You slept in and missed a crucial phone call? Here's how AI21 Studio can help you out of a bind: let's build an excuse generator.,https://docs.ai21.com/docs/quickstart
The most naive thing to do is simply provide the model a prompt which is a simple instruction. This is what it looks like:,https://docs.ai21.com/docs/quickstart
"This is called Zero-shot, because we are giving the model zero examples. Occasionally this may work, but you may receive various types of completions. The structure and tone of the completion may differ from your expectation, for example a short excuse when expected something elaborated.",https://docs.ai21.com/docs/quickstart
"If you want to get the most benefit out of large language models, it is recommended to insert a prompt that includes several examples (similarly to teaching a student).",https://docs.ai21.com/docs/quickstart
"The previous excuse was too generic and could have been used for anything. By providing the model with examples, just as a human would, it could produce completions that are more aligned with your intentions. In order to help the model distinguish between each example, we use a stop sequence. The stop sequence itself should be immediately recognizeable when you look at the text as a whole. In this example, the stop sequence is ##:",https://docs.ai21.com/docs/quickstart
"This is called Few-shot, because we are inserting a prompt which includes a few examples.",https://docs.ai21.com/docs/quickstart
"The previous results were rather serious and not the most original. If you’re looking for some more creative excuses, it should be reflected in your examples:",https://docs.ai21.com/docs/quickstart
Surely this will work on even the most skeptical boss.,https://docs.ai21.com/docs/quickstart
"Another way to affect the completion is to adjust some of the model parameters. A useful parameter is the temperature. You can increase creativity by tweaking the temperature. With temperature 0, the model will always choose the most probable completion, so it will always be the same. Increasing the temperature will provide variable completions, where the completion may be different for every generation:",https://docs.ai21.com/docs/quickstart
"A task that requires accurate results (such as classification) is best performed with low temperature, whereas a task that requires more creativity should be conducted with high temperature (0.7 is a reasonable starting point).",https://docs.ai21.com/docs/quickstart
Want to explore the various excuses the model can think of? Try it yourself!,https://docs.ai21.com/docs/quickstart
"We encourage you to play with our models in the AI21 Studio. Take inspiration from other examples in the playground, such as Twitter agent, Ads copywriter, Outline creator and more. Finished playing? Learn more about our completion API.",https://docs.ai21.com/docs/quickstart
You have a mission and want the best that Studio has to offer? Optimal results are achieved by training a custom model.,https://docs.ai21.com/docs/quickstart
Have any questions? Talk to us.,https://docs.ai21.com/docs/quickstart
"Now that you know what large language models are, you must be wondering: “How does a neural network use text as input and output?”.",https://docs.ai21.com/docs/tokenizer-tokenization
The answer is: Tokenization 🧩,https://docs.ai21.com/docs/tokenizer-tokenization
"Any language can be broken down into basic pieces (in our case, tokens). Each of those pieces is translated into its own vector representation, which is eventually fed into the model. For example:",https://docs.ai21.com/docs/tokenizer-tokenization
"Each model has its own dictionary of tokens, which determines the language it ""speaks"". Each text in the input will be decomposed into these tokens, and every text generated by the model will be composed of them.",https://docs.ai21.com/docs/tokenizer-tokenization
But how do we break down a language? Which pieces are we choosing as our tokens? There are several approaches to solve this:,https://docs.ai21.com/docs/tokenizer-tokenization
"As a simple solution, each character can be treated as its own token. By doing so, we can represent the entire English language with just 26 characters (okay, double it for capital letters and add some punctuation). This would give us a small token dictionary, thereby reducing the width we need for those vectors and saving us some valuable memory. However, those tokens don’t have any inherent meaning - we all know what the meaning of “Cat” is, but what is the meaning of “C”? The key to understanding language is context. Although it is clear to us readers that a ""Cat"" and a ""Cradle"" have different meanings, for a language model with this tokenizer - the ""C"" is the same.",https://docs.ai21.com/docs/tokenizer-tokenization
"Another approach we can try is breaking our text into words, just like in the example above (""I want to break free"").",https://docs.ai21.com/docs/tokenizer-tokenization
"Now, every token has a meaning that the model can learn and use. We are gaining meaning, but that requires a much larger dictionary. Also, it raises another question: what about words stemming from the same root-word like ”helped”, “helping”, and “helpful”? In this approach each of these words will get a different token with no inherent relation between them, whereas for us readers it's clear that they all have a similar meaning.",https://docs.ai21.com/docs/tokenizer-tokenization
"Furthermore, words may have fundamentally different meanings when strung together - for instance, my run-down car isn't running anywhere. What if we went a step further?",https://docs.ai21.com/docs/tokenizer-tokenization
"In this approach we break our text into sentences. This will capture meaningful phrases! However, this would result in an absurdly large dictionary, with some tokens being so rare that we would require an enormous amount of data to teach the model the meaning of each token.",https://docs.ai21.com/docs/tokenizer-tokenization
"Each method has pros and cons, and like any real-life problem, the best solution involves a number of compromises. AI21 Studio uses a large token dictionary (250K), which contains some from every method: separate characters, words, word parts such as prefixes and suffixes, and many multi-word tokens.",https://docs.ai21.com/docs/tokenizer-tokenization
Two new features are now available:,https://docs.ai21.com/changelog
"We are pleased to announce the availability of the Python Software Development Kit (SDK) for AI21 Studio's state-of-the-art natural language processing models, including the Jurassic-1 series and all specialized models.",https://docs.ai21.com/changelog
"The new documentation platform introduces more information on the use of our large language models, how to use our APIs, example recipes, and more!",https://docs.ai21.com/changelog
"Jurassic-1 Instruct, our instruction-following language model, is now available in open beta! 🦖",https://docs.ai21.com/changelog
Two new features are included in this update: custom presets can be deleted and uploaded datasets can be deleted. Both of these features are extremely useful for anyone who has a large number of assets and wishes to organize them as well as remove older assets from their collections.,https://docs.ai21.com/changelog
"We are excited to announce the launch of two specialized APIs from AI21 Studio: Rewrite API and Summarize API. Developed by our experts, these top-notch NLP models are designed to handle the complex tasks of paraphrasing and summarization accurately. All that’s left is to integrate them into your product and let the magic happen 🔮✨💫",https://docs.ai21.com/changelog
"We have created a new Overview page to be the entry gate to our platform. With easy access to a set of premade examples (presets), API documentation and custom models, it should be a breeze to start working with our technology right away.",https://docs.ai21.com/changelog
"AI21 Labs is on a mission to make reading and writing AI-first experiences, with machines working alongside humans as thought partners, thereby promoting human welfare and prosperity. To deliver its promise, this technology must be deployed and used in a responsible and sustainable way, taking into consideration potential risks, including malicious use by bad actors, accidental misuse and broader societal harms. We take these risks extremely seriously and put measures in place to mitigate them.",https://docs.ai21.com/docs/safety-research
"AI safety is an important challenge with a large surface area, which we believe can be addressed most effectively by working together. We invite anyone interested in conducting research or otherwise promoting AI safety to contact us at [email protected] and explore opportunities for collaboration. We encourage members of the community to contact us at the same address to report bad experiences, vulnerabilities and suspected misuse of our products or to voice any other safety-related concerns.",https://docs.ai21.com/docs/safety-research
"Natural language processing (NLP) has seen rapid growth in the last few years since large language models (LLMs) were introduced. Those huge models are based on the Transformers architecture, which allowed for the training of much larger and more powerful language models.",https://docs.ai21.com/docs/large-language-models
"We divide LLMs into two main categories, Autoregressive and Masked LM (language model). In this page we will focus on Autoregressive LLMs, as our language models, Jurassic-1 series, belongs to this category.",https://docs.ai21.com/docs/large-language-models
"Autoregressive LLM is a neural network model composed from billions of parameters. It was trained on a massive amount of texts with one goal: to predict the next word, based on the given text. By repeating this action several times, every time adding the prediction word to the provided text, you will end up with a complete text (e.g. full sentences, paragraphs, articles, books, and more). In terms of terminology, the textual output (the complete text) is called a completion while the input (the given, original text) is called prompt.",https://docs.ai21.com/docs/large-language-models
"Imagine you had to read all of Shakespeare's works repeatedly to learn a language. Eventually, you would be able to not only memorize all of his plays and poems, but also imitate his writing style.",https://docs.ai21.com/docs/large-language-models
"In similar fashion, we trained the LLMs by supplying them with many textual sources. This enabled them to gain an in-depth understanding of English as well as general knowledge.",https://docs.ai21.com/docs/large-language-models
"The LLMs are queried using natural language, also known as prompt engineering.",https://docs.ai21.com/docs/large-language-models
"Rather than writing lines of code and loading a model, you write a natural language prompt and pass it to the model as the input. For example:",https://docs.ai21.com/docs/large-language-models
"Data, computation, and engineering resources are required for training and deploying large language models. LLMs, such as our Jurassic-1 models, play an important role here, providing access to this type of technology to academic researchers and developers.",https://docs.ai21.com/docs/large-language-models
Only you and members of your organization will be able to send requests to your custom models. Other AI21 Studio users don’t have access.,https://docs.ai21.com/docs/training-custom-models-1
"Once trained, you'll be able to query your custom model in the playground by selecting it from the model dropdown. You can also query the model via the API by posting a complete request with the model name in the URL corresponding to your custom model:",https://docs.ai21.com/docs/training-custom-models-1
"When querying the trained model with new examples, you should use exactly the same structure you used in the training data. Stop sequence is not needed.",https://docs.ai21.com/docs/training-custom-models-1
"For example, to query a model trained on ad generation as in this example, your prompt text should be:",https://docs.ai21.com/docs/training-custom-models-1
